PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米)
27.06,52.91,16.3,21.81,0.77,84.59
25.27,49.56,12.55,18.99,0.71,88.13
23.4,48.09,11.18,19.93,0.69,89.34
22.09,46.62,10,20.88,0.67,89.46
20.89,44,9.11,21.25,0.61,89.89
19.35,39.96,8.7,20.25,0.54,90.61
18.7,38.49,8.8,20.47,0.5,90.81
17.71,37.43,9.69,21.65,0.49,90.16
16.48,35.56,13.18,25.36,0.5,87.7
1.64,1.78,0.31,1.39,0.14,88.11
1.58,1.69,0.29,0.93,0.14,88.59
1.61,1.71,0.29,0.59,0.14,91.76
1.5,1.59,0.27,0.47,0.14,91.98
1.4,1.48,0.26,0.37,0.14,90.69
1.32,1.4,0.25,0.31,0.13,88.44
1.32,1.39,0.24,0.29,0.13,89.57
1.46,1.53,0.23,0.28,0.13,89.73
1.38,1.45,0.23,0.25,0.13,90.43
1.31,1.38,0.23,0.28,0.13,90.48
1.24,1.31,0.22,0.29,0.13,90.07
1.16,1.24,0.21,0.25,0.13,90.28
1.12,1.19,0.2,0.22,0.13,88.63
1,1.14,0.19,0.19,0.13,100.76
1.21,1.29,0.19,0.19,0.13,92.16
1.15,1.23,0.19,0.18,0.13,92.51
1.35,1.42,0.18,0.18,0.13,89.33
1.42,1.5,0.18,0.18,0.13,87.19
1.52,1.6,0.18,0.18,0.13,86.18
1.94,2.03,0.18,0.17,0.13,84.33
2.56,2.67,0.18,0.16,0.13,83.76
2.92,3.02,0.19,0.15,0.13,81.35
2.98,3.08,0.19,0.15,0.13,79.86
3.11,3.2,0.19,0.14,0.13,79.72
3.2,3.29,0.19,0.14,0.13,79.47
3.34,3.44,0.19,0.14,0.13,79.86
3.47,3.56,0.19,0.13,0.13,79.69
3.46,3.55,0.19,0.13,0.13,79.12
3.54,3.63,0.2,0.12,0.13,78.77
3.5,3.59,0.21,0.12,0.13,79.37
3.48,3.57,0.21,0.12,0.13,79.41
3.49,3.58,0.22,0.11,0.12,79.06
3.52,3.61,0.22,0.12,0.12,78.73
3.46,3.55,0.22,0.12,0.12,78.56
3.41,3.5,0.21,0.12,0.12,78.97
3.47,3.56,0.22,0.12,0.12,78.18
3.49,3.58,0.22,0.12,0.12,78.23
3.43,3.52,0.22,0.12,0.12,77.45
3.48,3.57,0.22,0.12,0.12,76.68
3.52,3.61,0.22,0.13,0.12,75.97
3.56,3.65,0.22,0.13,0.12,74.14
3.69,3.77,0.22,0.13,0.12,72.71
3.76,3.85,0.22,0.13,0.12,71.72
3.99,4.08,0.23,0.13,0.12,69.7
4.27,4.36,0.23,0.12,0.12,70.19
4.35,4.44,0.24,0.12,0.12,69.74
4.42,4.52,0.24,0.13,0.12,69.14
4.37,4.46,0.23,0.14,0.12,68.77
4.27,4.36,0.23,0.13,0.12,68.47
4.14,4.23,0.23,0.13,0.12,69.52
4,4.08,0.23,0.12,0.12,69.72
3.88,3.97,0.23,0.12,0.12,69.04
3.77,3.86,0.23,0.12,0.12,68.85
3.68,3.77,0.23,0.12,0.12,68.01
3.64,3.73,0.23,0.12,0.12,68.11
3.58,3.67,0.23,0.12,0.12,68.43
3.57,3.66,0.23,0.12,0.12,69.25
3.54,3.63,0.24,0.12,0.12,69.24
3.53,3.62,0.24,0.12,0.12,69.03
3.51,3.6,0.23,0.13,0.12,68.22
3.52,3.61,0.23,0.13,0.12,67.33
3.64,3.73,0.24,0.13,0.12,69.29
3.7,3.8,0.25,0.13,0.12,69.62
3.77,3.87,0.25,0.13,0.12,69.76
4.02,4.13,0.27,0.13,0.12,67.09
3.95,4.06,0.27,0.14,0.12,68.23
3.93,4.04,0.26,0.15,0.12,67.5
3.91,4.02,0.27,0.15,0.12,67.42
3.95,4.07,0.27,0.14,0.12,66.66
4.07,4.19,0.27,0.14,0.12,65.64
4.31,4.42,0.27,0.14,0.12,64.64
4.71,4.82,0.26,0.14,0.12,65.55
5.09,5.2,0.26,0.15,0.12,66.77
5.29,5.39,0.26,0.15,0.12,66.89
5.21,5.32,0.27,0.15,0.12,67.08
5.36,5.48,0.29,0.14,0.12,67.51
5.81,5.93,0.31,0.13,0.12,65.31
5.6,5.73,0.33,0.13,0.12,65.91
5.97,6.13,0.38,0.12,0.12,65.21
5.95,6.11,0.4,0.12,0.12,67.92
6.03,6.19,0.43,0.11,0.12,68.25
5.89,6.06,0.43,0.12,0.12,68.52
6.01,6.19,0.44,0.12,0.12,69.72
6.57,6.75,0.48,0.13,0.12,67.83
6.81,6.99,0.48,0.13,0.12,67.82
6.95,7.13,0.49,0.13,0.12,67.9
7.1,7.28,0.49,0.13,0.11,68.48
7.06,7.23,0.49,0.12,0.11,69.19
6.86,7.04,0.5,0.13,0.11,67.33
6.8,6.98,0.5,0.14,0.11,68.28
6.67,6.86,0.49,0.16,0.11,67.93
6.69,6.88,0.49,0.18,0.11,68.03
6.5,6.68,0.48,0.18,0.11,70.24
6.99,7.18,0.51,0.18,0.11,70.34
7.38,7.56,0.53,0.2,0.12,70.71
7.27,7.46,0.52,0.23,0.12,71.69
7.55,7.75,0.54,0.26,0.12,70.23
7.93,8.15,0.57,0.29,0.12,70.66
9.02,9.28,0.67,0.38,0.12,71.43
8.79,9.07,0.69,0.41,0.12,71.44
8.45,8.73,0.68,0.39,0.12,71.38
7.72,8,0.65,0.39,0.12,70.66
7.71,7.99,0.65,0.39,0.12,71.5
7.59,7.87,0.64,0.37,0.12,73.32
7.27,7.53,0.6,0.35,0.12,73.33
7.04,7.3,0.58,0.33,0.12,73.23
6.84,7.1,0.55,0.32,0.12,73.03
7.27,7.53,0.59,0.33,0.11,70.53
7.8,8.06,0.63,0.32,0.11,71.28
8.02,8.28,0.61,0.32,0.12,69.96
7.68,7.94,0.6,0.35,0.12,71.51
7.95,8.21,0.62,0.36,0.12,70.24
8.14,8.4,0.63,0.38,0.12,69.87
8.11,8.38,0.65,0.43,0.12,70.67
8.02,8.29,0.62,0.44,0.12,68.49
8.11,8.37,0.63,0.4,0.12,71.51
8.01,8.27,0.61,0.38,0.12,70.89
8.01,8.27,0.6,0.37,0.12,70.45
8,8.25,0.59,0.35,0.12,69.17
8.02,8.27,0.58,0.32,0.12,68.28
8.32,8.59,0.65,0.33,0.12,67.43
9.97,10.3,1.06,0.42,0.13,65.42
14.88,15.41,2.35,0.57,0.15,63.57
21.48,22.26,4.27,0.74,0.17,62.95
32.77,33.99,8.21,1.05,0.22,64.12
38.9,40.4,10.68,1.36,0.24,64.79
42.38,44.16,12.5,1.76,0.26,62.71
44.11,46.42,13.82,2.05,0.27,63.98
43.73,47.25,14.46,2.3,0.28,65.12
41.82,47.75,14.74,2.56,0.29,66.85
38.33,47.57,14.87,2.9,0.29,67.52
34.86,47.2,15.18,3.05,0.29,68.68
31.95,46.04,15.4,3.22,0.29,71.09
30.12,44.31,15.38,3.43,0.29,73.04
31.34,43.99,15.38,3.72,0.29,72.43
34.1,44.49,15.65,4.13,0.3,71.82
36.28,45.01,16.03,4.91,0.31,68.2
37.57,45.73,16.87,6.03,0.34,64.28
38,46.1,17.68,7.48,0.38,60.75
37,45.26,18.22,9.03,0.42,56.95
35.69,44.38,18.59,10.8,0.43,53.41
36.32,43.9,19.31,10.19,0.4,56.06
38.21,45.45,20.39,9.58,0.37,57.78
39.71,46.94,21.12,10.14,0.35,54.54
40.38,48.07,22.22,10.76,0.35,51.51
36.63,45.76,19.63,12.04,0.41,52.08
30.12,40.67,15.03,12.81,0.5,56.67
22.79,33.84,10.17,13.3,0.55,58.62
19.62,30.38,8.77,15.48,0.57,60.28
18.34,28.54,8.53,20.19,0.62,60.7
17.59,26.39,8.46,26.41,0.7,61.4
17.65,25.72,7.57,21.66,0.65,61.9
17.03,26.04,7.4,16.98,0.61,61.4
17.69,28.7,7.72,9.92,0.53,60.36
19.29,31.19,7.81,8.79,0.5,59.13
20.29,32.78,7.87,9.13,0.49,58.44
20.42,33.44,7.82,10.23,0.49,57.22
18.56,32.8,7.84,12.5,0.51,55.19
19.53,34.91,9.59,10.68,0.51,59.14
21,35.64,11.24,8.94,0.48,64.5
20.96,35.35,11.88,9.19,0.47,67.64
20.74,34.58,11.51,9.48,0.47,69.62
20.61,32.75,10.18,10.56,0.48,69.65
18.8,28.98,8.46,11.63,0.49,68
14.97,23.52,7.3,12.39,0.51,67.88
11.48,20.76,6.33,12.9,0.53,66.74
13.88,22.35,6.62,9.21,0.51,71.4
15.78,24.04,7.22,7.7,0.5,72.16
16.97,25.24,7.66,6.88,0.5,70.75
18.84,27.03,8.22,5.3,0.49,70.38
19.23,27.69,7.96,5.57,0.5,67.79
21.45,30.38,9.09,5.5,0.52,64.9
23.01,32.71,10.44,5.53,0.54,62.76
22.96,34.07,12.01,5.52,0.58,60.71
19.02,32.37,12.3,6.43,0.63,57.98
14.21,30.7,13.44,10.96,0.72,54.53
14.74,31.54,13.25,11.83,0.76,55.1
20.88,34.94,11.72,8.27,0.74,58.6
24.31,37,10.57,7.84,0.78,58.33
26.21,37.6,9.51,8.66,0.84,56.62
29.76,39.92,8.38,11.29,0.96,51.78
32.9,42.49,7.5,14.14,1.05,47.47
35,44.73,7.05,17.88,1.15,43.93
35.03,45.84,7.31,21.75,1.23,41.35
34.85,47.08,8.14,24.27,1.3,39.44
35.03,48.08,9.71,21.59,1.25,42.41
33.7,46.31,10.91,18.32,1.19,48.69
31.84,45.74,10.84,21.66,1.27,44.31
31.24,46.7,9.63,24.92,1.37,39.85
29.88,48.54,8.6,30.72,1.55,35.54
26.53,47.14,7.31,34.1,1.66,33.8
22.29,43.02,6.96,32.42,1.73,35.08
23.84,43.04,9.58,25.6,1.68,41.24
30.45,46.4,13.14,17.38,1.54,51.73
34.17,49.7,12.6,16.51,1.61,46.87
36.53,49.52,13.15,15.12,1.65,44.32
31.22,40.34,10.8,15.8,1.8,38.63
22.57,29.84,5.36,19.05,1.93,31.34
29.11,41.85,5.51,19.71,1.68,32.69
41.01,63.38,16.29,15.76,1.21,43.42
43.05,69.22,17.19,18,1.18,43.54
40.83,69.82,17.7,20.8,1.2,36.89
34.49,64.67,17.84,22.48,1.24,30.56
32.73,62.74,18.09,23.5,1.3,29.07
30.23,58.49,17.76,26.52,1.51,23.82
27.91,51.82,16.71,30.47,1.8,23.26
35.34,58.96,15.16,27.44,1.47,33.07
44.23,67.76,14.18,21.02,1.03,48.85
51.17,74.19,13.11,18.68,0.9,57.65
54.25,77.21,12.91,19.47,0.92,59.7
52.88,76.81,13.41,24.36,1.02,58.28
52.88,81.37,15.12,32.83,1.29,53.56
58.88,92.96,16.9,41.79,1.39,46.54
69.23,110.57,19.94,50.82,1.59,35.04
70.42,112.86,20.41,49.47,1.61,35.98
64,101,18.22,40.37,1.42,45.26
60.46,95.04,17.08,32.85,1.29,53.42
61.39,96.98,18.94,31.22,1.31,52.46
62.02,99.29,22.23,29.93,1.37,51.38
60.57,99.16,24.93,28.36,1.39,52.62
55.83,92.43,25.1,24.08,1.26,58.97
52.88,88.82,26.68,22.66,1.17,61.93
50.97,87.11,29.06,22.61,1.11,63.82
49.76,87.62,32.84,24.02,1.07,64.91
47.88,87.32,37.32,25.79,1.03,65.33
46.17,87.65,42.99,28.48,1.01,63.6
44.07,87.15,48.99,31.66,0.99,59.88
42.07,86.52,53.4,34.64,0.97,56.25
40.08,84.98,56.28,38.06,0.97,52.48
37.43,81.08,54.51,39.05,0.96,51.51
32.52,69.23,39.95,30.32,0.89,60.18
30.54,62.19,28.84,24.88,0.86,65.02
31.72,63.46,28.35,26.45,0.94,63.39
32.22,64.38,29.23,29.2,1.01,61.83
29.78,58.45,25.15,26.51,0.94,69.88
28.53,54.01,19.72,23.21,0.87,76.02
27.45,50.54,14.91,20.15,0.8,82.61
26.25,48.83,12.78,19.07,0.75,85.98
25.39,49.47,13.37,20.95,0.76,86.78
23.7,48.54,11.63,21.78,0.72,87.89
22.49,47.17,10.92,23.13,0.67,88.4
21.12,44.59,11.02,23.64,0.61,88.35
20.05,41.6,10.21,22.34,0.54,89
19.12,39.81,10.39,22.14,0.5,88.3
17.86,38.21,12.44,24.9,0.51,86.2
15.89,32.29,13.69,23.26,0.46,87.84
1.48,1.66,0.3,0.63,0.14,100.4
1.85,1.95,0.29,0.79,0.13,94.64
1.68,1.77,0.28,0.49,0.13,94.51
1.55,1.63,0.28,0.37,0.13,94.37
1.46,1.53,0.26,0.29,0.13,93.9
1.36,1.43,0.25,0.26,0.13,92.55
1.42,1.49,0.25,0.25,0.13,93.92
1.49,1.56,0.24,0.23,0.13,92.93
1.5,1.56,0.24,0.23,0.13,92.12
1.36,1.43,0.23,0.26,0.13,91.9
1.29,1.37,0.22,0.28,0.13,91.02
1.18,1.26,0.21,0.23,0.13,91.37
1.11,1.18,0.2,0.2,0.13,89.51
1.15,1.23,0.19,0.2,0.13,91.43
1.39,1.46,0.19,0.19,0.13,90.98
1.45,1.52,0.2,0.18,0.13,92.76
1.51,1.58,0.19,0.18,0.13,90.82
1.68,1.76,0.18,0.17,0.13,89.71
1.57,1.66,0.18,0.17,0.13,88.33
1.68,1.87,0.19,0.17,0.13,88.78
2.46,2.61,0.19,0.16,0.13,86.08
2.97,3.08,0.2,0.15,0.13,82.81
3.27,3.37,0.2,0.14,0.13,80.81
3.59,3.69,0.21,0.14,0.13,80.08
3.81,3.9,0.21,0.13,0.13,79.83
3.65,3.76,0.21,0.13,0.13,80.64
3.61,3.71,0.21,0.13,0.13,81.08
3.59,3.69,0.21,0.12,0.12,80.32
3.6,3.7,0.22,0.11,0.12,78.88
3.57,3.67,0.22,0.11,0.12,79.25
3.58,3.68,0.23,0.11,0.12,79.82
3.59,3.68,0.23,0.11,0.12,79.36
3.53,3.62,0.23,0.11,0.12,79.74
3.56,3.66,0.23,0.11,0.12,79.18
3.59,3.69,0.22,0.11,0.12,79.5
3.65,3.75,0.22,0.11,0.12,80.16
3.7,3.79,0.23,0.11,0.12,80.84
3.67,3.77,0.23,0.11,0.12,80.18
3.7,3.8,0.23,0.11,0.12,78.43
3.72,3.82,0.23,0.12,0.12,77.87
3.76,3.85,0.23,0.12,0.12,76.38
3.85,3.94,0.23,0.13,0.12,75.04
3.93,4.03,0.23,0.13,0.12,73.55
4.13,4.23,0.23,0.12,0.12,71.7
4.35,4.45,0.24,0.12,0.12,70.28
4.44,4.53,0.24,0.12,0.12,70.07
4.48,4.58,0.24,0.12,0.12,69.82
4.47,4.56,0.24,0.12,0.12,70.69
4.45,4.54,0.24,0.11,0.12,70.92
4.46,4.56,0.25,0.11,0.12,71.45
4.3,4.39,0.24,0.11,0.12,71
4.02,4.11,0.24,0.11,0.12,70.16
3.89,3.99,0.24,0.11,0.12,69.71
3.76,3.86,0.24,0.12,0.12,69.08
3.71,3.8,0.24,0.11,0.12,69.74
3.62,3.72,0.24,0.11,0.12,69.95
3.61,3.7,0.24,0.11,0.12,70.34
3.64,3.74,0.25,0.11,0.12,70.58
3.65,3.75,0.25,0.11,0.12,70.64
3.66,3.75,0.25,0.12,0.12,70.19
3.67,3.77,0.25,0.12,0.12,69.56
3.72,3.82,0.26,0.12,0.12,70.17
3.72,3.82,0.26,0.12,0.12,69.84
3.76,3.86,0.27,0.12,0.12,70.51
3.87,3.98,0.28,0.12,0.12,71.36
3.89,4,0.28,0.12,0.12,70.69
3.8,3.91,0.27,0.13,0.12,68.66
3.78,3.9,0.27,0.13,0.12,68.3
3.82,3.94,0.28,0.13,0.12,67.67
3.94,4.07,0.28,0.13,0.12,67.36
4.13,4.26,0.29,0.13,0.12,66.28
4.44,4.56,0.29,0.13,0.12,67.15
4.88,5,0.29,0.12,0.12,68.05
5.34,5.46,0.3,0.12,0.12,66.65
5.14,5.27,0.31,0.12,0.12,66.73
5.55,5.68,0.33,0.12,0.12,65.05
5.67,5.82,0.36,0.12,0.12,64.54
5.85,6,0.37,0.12,0.12,65.56
6.02,6.19,0.4,0.12,0.12,66
6.02,6.18,0.42,0.11,0.12,67.88
6.12,6.29,0.45,0.11,0.12,68.78
6.06,6.23,0.45,0.11,0.12,70.11
6.02,6.19,0.45,0.12,0.12,71.78
6.34,6.52,0.47,0.12,0.12,70.39
6.53,6.71,0.48,0.12,0.12,70.72
6.64,6.82,0.49,0.12,0.12,69.92
6.9,7.09,0.51,0.12,0.11,68.19
6.93,7.11,0.51,0.12,0.11,68.03
7,7.18,0.52,0.11,0.11,68.96
6.9,7.08,0.51,0.11,0.11,71.39
6.84,7.02,0.51,0.11,0.11,72.04
6.87,7.06,0.51,0.11,0.11,72.57
6.79,6.97,0.5,0.12,0.11,72.12
7.16,7.35,0.52,0.13,0.11,70.39
7.57,7.75,0.55,0.16,0.11,70.1
7.14,7.33,0.52,0.19,0.12,72.45
7.72,7.91,0.55,0.21,0.12,70.03
8.61,8.81,0.59,0.24,0.12,70.8
9.37,9.64,0.7,0.43,0.12,73.31
9.03,9.33,0.72,0.47,0.12,72.15
8.6,8.89,0.7,0.44,0.12,71.45
7.84,8.13,0.67,0.45,0.12,73.02
8.11,8.41,0.69,0.43,0.12,72.19
8.2,8.49,0.69,0.4,0.12,72.49
7.87,8.14,0.65,0.37,0.12,73.87
7.83,8.11,0.65,0.35,0.12,72.75
7.34,7.6,0.61,0.36,0.12,73.26
7.6,7.86,0.62,0.34,0.12,71.78
7.92,8.17,0.64,0.35,0.12,71.61
8.18,8.45,0.66,0.37,0.12,71.52
8.32,8.59,0.67,0.4,0.12,72.01
8.36,8.63,0.68,0.43,0.12,71.76
8.38,8.65,0.68,0.46,0.12,71.2
8.28,8.55,0.66,0.47,0.12,70.76
8.15,8.41,0.63,0.43,0.12,69.88
8.04,8.3,0.64,0.38,0.12,72.47
7.88,8.14,0.62,0.37,0.12,71.75
7.87,8.12,0.6,0.36,0.12,71.3
7.81,8.06,0.59,0.35,0.12,70.23
7.82,8.07,0.57,0.32,0.12,68.84
7.96,8.2,0.59,0.32,0.12,68.35
8.7,8.98,0.77,0.39,0.12,65.31
13.61,14.09,2.15,0.58,0.14,63.47
23.08,23.93,5.31,0.85,0.18,61.43
33.45,34.73,8.91,1.21,0.22,60.61
39.4,40.96,11.37,1.51,0.25,63.65
41.45,43.26,12.74,1.66,0.26,66.03
42.81,45.18,13.78,1.94,0.27,66.57
42.69,46.39,14.04,2.27,0.28,66.24
40.2,46.63,13.73,2.73,0.28,67.21
37.43,47.54,13.87,3.11,0.29,66.83
33.98,47.96,14.31,3.33,0.3,67.23
31.36,48.01,14.48,3.72,0.3,66.59
30.5,47.11,14.38,3.83,0.3,66.61
30.98,46.11,14.57,4.32,0.31,65.84
33.25,45.75,15.13,5.07,0.32,64.49
35.02,45.23,15.32,5.73,0.35,61.05
34.44,43.93,15.76,7.6,0.39,56.6
33.91,42.91,16.5,9.67,0.46,55.1
33.5,41.71,16.88,10.88,0.51,53.66
33.3,41.12,17.52,11.85,0.51,53.3
33.75,41.66,18.59,12.23,0.48,53.73
35.14,43.15,19.61,11.62,0.43,54.58
37.28,45.05,20.42,11.12,0.38,54.93
39.1,46.69,20.59,10.91,0.36,51.96
36.52,46.12,19.62,13.97,0.44,50.51
29.23,40.49,15.29,15,0.55,53.21
23.79,33.56,9.84,8.17,0.49,58.61
22.03,31.39,8.8,6.12,0.43,60.46
20.18,29.89,8.57,6.8,0.44,61.67
19.13,29.06,8.44,7.35,0.46,62.92
18.6,28.64,8.3,8.18,0.49,63.31
17.91,28.03,8.03,9.41,0.52,62.61
17.88,28.21,7.78,10.65,0.55,61.02
19.06,29.95,8.1,8.68,0.51,61.03
20.42,31.8,8.36,8.88,0.49,60.43
20.72,32.78,8.38,11.29,0.5,57.29
19.96,32.81,8.67,13.27,0.51,55.28
21.37,35.02,10.5,10.09,0.51,59.46
22.87,36.05,11.92,8.63,0.49,64.46
23.36,36.5,12.33,8.98,0.48,65.65
22.76,35.78,11.77,9.59,0.47,65.32
22.47,34.42,10.57,10.7,0.48,65.72
20.3,31.19,9.37,11.65,0.49,66.1
16.14,25.94,8.44,12,0.5,66.8
13.49,23.97,7.78,12.15,0.51,66.64
16.5,26.09,8.07,8.27,0.49,71.09
18.34,27.75,8.83,6.47,0.48,73.54
19.19,28.72,9.37,5.28,0.48,72.17
20.24,29.93,9.92,4.6,0.47,70.56
20.74,30.97,10.18,4.78,0.48,67.15
22.86,33.86,11.63,4.97,0.49,63.76
24.06,35.97,13.19,5.47,0.52,61.33
24.72,37.62,14.77,5.33,0.54,60.6
23.42,37.43,14.75,5.32,0.59,58.53
20.49,36.3,15.38,7.91,0.66,55.51
20.32,36.32,14.75,8.71,0.71,56.36
22.36,37.39,13.12,7.85,0.73,57.27
23.98,38.22,11.5,7.82,0.79,56.44
25.97,38.61,10.07,8.36,0.84,56.02
28.3,39.24,8.62,10.85,0.96,52.57
30.24,40.12,7.77,13.41,1.03,50.13
31.28,40.78,7.17,16.99,1.12,46.19
31.99,42.33,7.42,20.93,1.21,42.6
32.26,43.91,8.23,23.16,1.26,41.53
32.74,45.5,9.36,21.88,1.27,42.56
31.07,44.36,9.85,22.21,1.3,41.96
29.83,44.02,9.72,24.35,1.37,38.87
30,45.2,8.79,27.32,1.43,36.6
28.9,46.5,8.02,31.55,1.57,33.78
24.16,43.31,7.14,33.43,1.65,33.2
21.34,40.65,7.36,31.39,1.7,34.96
26.1,43.23,9.97,24.09,1.62,41.62
31.03,44.88,12.72,17.02,1.52,48.98
35.03,46.89,13.54,15.6,1.52,50.56
38.15,48.09,13.65,15.51,1.59,46.33
33.86,41.49,10.51,16.92,1.78,36.65
24.66,32.09,4.7,20.29,1.93,30.11
29.34,43.3,7.87,18.66,1.63,32.65
37.84,57.89,17.11,14.74,1.27,39.82
39.15,61.38,17.25,16.11,1.25,39.72
38.42,62.89,17.11,18.74,1.29,35.41
34.93,61.28,16.94,21.31,1.35,30.18
33.92,60.45,17.16,22.83,1.42,29.32
31.16,56.06,16.6,26.21,1.63,25.79
29.37,51.5,15.39,30.35,1.86,26.5
32.77,54.84,13.5,32.84,1.83,30.68
41.27,63.3,13.87,27.42,1.36,40.04
50.07,72.22,12.93,18.51,0.94,57.4
54.26,76.97,12.85,19.88,0.96,59.05
54.01,78.13,13.44,27.14,1.13,54.03
55.66,84.65,15.18,35.7,1.45,48.91
61.52,95.56,16.34,41.41,1.5,45.95
73.89,116.55,19.87,50.42,1.7,35.46
83,134.01,24.83,57.93,1.83,26.56
71.89,113.92,20.61,44.95,1.54,39.34
64.21,100.8,17.52,34.5,1.32,52.69
63.6,100.79,18.86,31.26,1.31,54.09
64.49,103.93,22.27,29.88,1.36,52.51
62.76,103.51,25.03,28.27,1.37,53.36
57.98,97.03,25.73,24.27,1.26,59.04
55.26,93.97,27.74,23.15,1.19,61.75
53.74,93.16,30.59,23.71,1.13,62.74
52.61,94.15,34.45,25.75,1.11,62.88
49.9,92.21,38.2,27.37,1.05,63.15
47.74,92,42.61,30.55,1.03,61.24
45.1,90.39,46.18,33.84,1,56.96
41.69,86.09,46.35,34.21,0.95,55.86
38.45,81.4,44.54,34.24,0.93,55.24
35.62,76.72,41.89,33.93,0.93,55.32
32.93,69.46,35.03,30.09,0.92,57.74
31.7,64.87,30.07,27.29,0.94,59.58
31.86,64.11,30.63,28.55,1.01,59.23
32.97,66.54,34.4,33.68,1.13,54.23
31.1,60.84,28.99,30.42,1.07,61.05
29.22,54.49,21.09,25.12,0.97,69.5
28.23,50.85,15.57,21.57,0.88,76.78
27.35,48.7,13.32,19.86,0.8,82.93
27.15,49.88,13.85,21.06,0.8,84.67
26.51,51.42,13.28,22.85,0.8,85.44
24.5,50,12.36,23.83,0.73,87.46
22.32,46.5,11.93,23.37,0.65,88.73
20.46,41.16,9.91,19.39,0.53,90.66
18.79,36.41,8.12,15.51,0.45,93.32
17.24,33.5,7.09,14.35,0.42,94.08
15.97,30.92,7.58,14.67,0.41,94.23
1.65,1.78,0.3,0.89,0.13,95.92
1.79,1.88,0.28,0.76,0.13,94.96
1.71,1.78,0.26,0.43,0.13,94.96
1.6,1.67,0.26,0.3,0.13,96.12
1.59,1.66,0.26,0.26,0.13,96.7
1.48,1.55,0.26,0.24,0.13,97.16
1.4,1.47,0.25,0.23,0.13,96.97
1.46,1.53,0.25,0.23,0.13,95.6
1.44,1.5,0.24,0.22,0.13,93.49
1.36,1.43,0.24,0.24,0.13,93.42
1.32,1.4,0.23,0.27,0.13,92.25
1.19,1.28,0.22,0.23,0.13,93.17
1.19,1.26,0.21,0.2,0.13,91.02
1.25,1.32,0.2,0.19,0.13,94.64
1.52,1.59,0.2,0.18,0.13,92.84
1.46,1.53,0.2,0.18,0.13,93.77
1.6,1.67,0.19,0.17,0.13,91.84
1.8,1.88,0.19,0.17,0.13,91.33
1.73,1.85,0.19,0.17,0.13,91.56
1.77,2.1,0.2,0.16,0.13,97.05
2.2,2.41,0.21,0.16,0.13,89.1
2.78,2.91,0.21,0.14,0.13,84.85
3.28,3.39,0.22,0.14,0.13,80.73
3.41,3.51,0.23,0.13,0.12,80.12
3.53,3.64,0.24,0.12,0.12,81.61
3.53,3.65,0.24,0.12,0.12,82.43
3.5,3.63,0.23,0.12,0.12,81.75
3.5,3.63,0.23,0.12,0.12,80.61
3.54,3.65,0.23,0.11,0.12,78.82
3.62,3.72,0.24,0.11,0.12,79.2
3.71,3.81,0.25,0.11,0.12,79.04
3.69,3.79,0.25,0.11,0.12,79.43
3.68,3.78,0.24,0.11,0.12,80.21
3.79,3.89,0.24,0.11,0.12,80.53
3.86,3.96,0.24,0.11,0.12,81.68
3.91,4.01,0.24,0.11,0.12,81.1
3.89,3.99,0.24,0.11,0.12,80.75
3.91,4.01,0.24,0.11,0.12,80.22
3.92,4.02,0.25,0.1,0.12,77.84
3.91,4.01,0.24,0.11,0.12,78.05
3.92,4.02,0.24,0.11,0.12,77.73
3.99,4.09,0.24,0.12,0.12,76.27
4.12,4.21,0.24,0.12,0.12,74.11
4.32,4.42,0.24,0.12,0.12,72.45
4.48,4.58,0.25,0.11,0.12,71.38
4.6,4.7,0.25,0.11,0.12,71.68
4.61,4.71,0.25,0.11,0.12,71.79
4.56,4.66,0.25,0.11,0.12,72.2
4.5,4.6,0.25,0.11,0.12,72.33
4.42,4.51,0.25,0.1,0.12,72.07
4.4,4.49,0.25,0.1,0.12,72.27
4.21,4.3,0.24,0.11,0.12,71.34
4.03,4.12,0.24,0.11,0.12,70.49
3.98,4.07,0.25,0.11,0.12,71.24
3.89,3.98,0.25,0.11,0.12,71.44
3.83,3.92,0.25,0.11,0.12,71.2
3.8,3.89,0.25,0.11,0.12,71.21
3.82,3.92,0.25,0.11,0.12,71.53
3.78,3.87,0.26,0.11,0.12,71.7
3.78,3.88,0.26,0.11,0.12,71.62
3.76,3.86,0.26,0.12,0.12,71.08
3.75,3.84,0.26,0.12,0.12,71.44
3.71,3.81,0.27,0.11,0.12,71.92
3.76,3.86,0.27,0.11,0.12,72.24
3.85,3.96,0.28,0.11,0.12,71.64
3.9,4.01,0.29,0.11,0.12,70.92
3.87,3.99,0.29,0.12,0.12,70.32
3.91,4.04,0.29,0.12,0.12,70.89
4,4.12,0.3,0.12,0.12,70.51
4.11,4.24,0.31,0.12,0.12,69.34
4.19,4.32,0.31,0.12,0.12,68.11
4.37,4.5,0.31,0.12,0.12,67.53
4.64,4.77,0.31,0.12,0.12,67.48
4.9,5.04,0.32,0.12,0.12,66.79
5.09,5.22,0.33,0.12,0.12,67.1
5.33,5.47,0.35,0.12,0.12,67.51
5.64,5.8,0.38,0.12,0.11,65.29
5.74,5.9,0.39,0.11,0.12,66.56
5.99,6.16,0.42,0.11,0.11,66.61
5.99,6.16,0.43,0.11,0.11,68.05
5.97,6.14,0.44,0.11,0.11,69.45
5.79,5.96,0.43,0.11,0.11,72.74
