PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米)
22.8,37.68,10.34,11.59,0.8,54.84
20.85,38.11,11.84,14.54,0.91,53.12
20.56,38.06,11.73,12.87,0.9,56.93
21.21,38.69,10.4,9.51,0.91,58.71
21.86,38.45,9.81,8.45,0.92,59.4
21.71,38.7,10.2,9.71,0.96,58.92
22.41,39.21,10.5,10.42,0.95,60.25
23.1,39.3,10.3,10.28,0.91,63.36
23.99,39.99,10.59,10.42,0.86,67.17
24.44,40.46,10.85,10.67,0.83,70.75
25.14,41.09,10.84,10.8,0.82,73.08
25.14,41.31,10.68,11.25,0.85,75.44
25.8,42.27,10.83,11.95,0.85,77.95
26.33,43.09,11.17,12.57,0.84,80.79
26.78,44,12.12,12.5,0.82,84.46
27.32,45.09,13.15,12.71,0.8,87.22
27.79,46.08,14.56,13.38,0.8,89.18
29.01,46.6,15.68,13.65,0.76,91.72
29.5,46.14,15.12,12.31,0.72,95.32
28.63,44.86,12.12,8.84,0.68,100.89
28.73,44.26,9.97,6.44,0.66,105.12
30.53,44.97,9.33,6.18,0.64,106.93
32.05,45.82,9.02,6.36,0.63,108.02
32.53,45.33,8.98,6.76,0.57,110.85
31.04,41.84,8.62,5.47,0.47,119.96
25.38,33.03,7.35,3.59,0.25,127
12.46,16.16,2.12,2.01,0.25,31.29
11.74,17.4,2.4,3.22,0.34,24.62
11.22,17.61,2.66,4.39,0.42,21.51
11.02,17.89,2.82,5.12,0.47,21.23
10.73,17.95,2.84,5.18,0.48,20.74
9.38,16.46,3.19,5.98,0.5,20.09
8.67,15.74,3.26,5.57,0.49,19.95
8.66,14.73,2.57,3.73,0.4,21.44
9.04,14.43,2.28,3.09,0.37,23.15
9.34,14.07,2.19,2.69,0.34,25.42
10.52,14.63,2.23,2.12,0.3,29.81
11.85,14.95,2.28,1.54,0.23,35.86
26.55,33.22,6.88,4.56,0.34,70.79
22.43,30.13,6.55,4.46,0.37,68.24
20.45,28.46,6.32,4.31,0.39,67.42
19.62,28.1,6.2,4.4,0.41,65.65
20,28.84,6.47,4.81,0.43,64.53
20.74,30.32,6.97,5.49,0.47,63.39
21.22,32.07,7.5,6.64,0.55,60.56
21.59,33.65,8.08,7.84,0.63,58.63
23.17,36.59,8.64,8.98,0.71,56.41
24.2,39.47,9.36,10.95,0.82,52.96
22.41,39.91,10.68,13.89,0.95,50.95
20.71,38.91,10.67,12.54,0.97,52.47
20.63,38.44,10.06,10.31,0.95,54.63
20.13,38.18,9.99,10.1,0.98,54.47
20.77,37.8,9.57,9.05,0.95,55.8
21.08,38.07,9.89,9.53,0.96,56.96
21.48,38.27,10.11,9.85,0.95,58.77
21.73,38.4,10.26,10.03,0.94,61.42
22.18,38.51,10.45,10.07,0.91,64.93
23.12,39.11,10.65,9.87,0.87,69.27
24.58,40.44,10.81,9.91,0.84,73.31
25.61,41.56,10.76,10.24,0.84,76.23
26.12,42.37,10.59,10.99,0.84,77.68
26.86,43.16,10.65,11.47,0.82,80.46
27.8,44.24,11.1,11.05,0.78,84.26
28.23,45.01,11.62,10.9,0.76,87.31
28.38,45.43,12.16,10.75,0.75,90.4
28.59,45.46,12.55,10.31,0.73,93.6
29.07,45.3,12.2,8.99,0.69,97.09
30.24,45.2,11.19,6.98,0.66,101.33
32,45.77,10.54,5.75,0.64,104.24
34.94,48,10.32,5.87,0.65,104.89
37.51,50.99,10.05,6.62,0.67,103.74
36.09,50.21,9.94,7.77,0.69,104.57
33.82,46.93,9.7,7.81,0.62,109.71
32.06,44.28,9.13,7.07,0.55,114.46
30.46,42.08,9.13,6.3,0.48,119.88
28.29,38.41,8.99,5.96,0.37,122.42
25.9,35.3,8.26,6.03,0.3,125.64
24.94,33.17,8.28,4.95,0.25,123.16
12.31,16.46,2.54,2.41,0.27,30.2
11.69,17.35,3.03,3.46,0.38,24.4
11.26,17.78,3.14,4.16,0.45,21.9
10.96,17.76,3.16,4.55,0.48,22.16
10.33,17.35,3.16,4.72,0.48,21.51
9.33,17.18,4.59,7.45,0.58,19.15
8.74,16.94,5.1,7.39,0.58,18.62
8.64,15.52,3.08,3.96,0.43,20.06
9.15,15.32,2.33,2.59,0.37,21.45
9.49,14.79,2.23,2.24,0.35,24.01
10.75,14.8,2.3,1.83,0.29,30
26.45,35.58,7.91,5.91,0.42,66.49
21.7,31.69,7.56,5.9,0.45,63.32
20.76,30.75,7.33,5.86,0.46,62.94
20.49,30.71,6.81,5.68,0.48,62.14
20.58,31.17,6.85,5.99,0.5,61.05
20.81,31.92,7.05,6.54,0.53,59.84
20.88,32.96,7.38,7.5,0.6,58.1
21.41,34.52,7.78,8.36,0.67,56.62
23.25,37.12,8.11,8.71,0.73,55.41
24.65,39.61,8.35,9.62,0.8,52.74
23.76,39.76,8.77,10.52,0.88,51.81
22.11,38.54,8.92,10.06,0.91,52.13
21.27,38.13,9.12,9.69,0.94,52.35
21.01,37.95,9.36,9.41,0.95,52.93
20.92,37.73,9.59,9.41,0.94,54.11
21.21,37.9,9.94,9.91,0.94,55.57
21.61,38.08,10.23,10.21,0.93,57.6
22.93,38.81,10.54,10.07,0.9,60.82
23.42,39.06,10.9,10.05,0.87,64.4
23.83,39.34,11.33,9.96,0.85,68.43
23.82,39.77,11.84,10.66,0.86,70.83
23.98,40.28,11.86,11.17,0.87,73.27
25.2,41.35,11.25,10.89,0.84,77.08
26.73,42.49,10.86,10.67,0.8,80.17
28.67,44.14,10.98,10.41,0.75,82.58
29.08,44.9,11.33,10.18,0.74,85.59
29.31,45.23,11.59,9.86,0.73,89.15
29.49,45.05,11.83,9.01,0.7,93.94
29.48,44.33,11.75,7.69,0.67,98.04
31.71,45.37,11.49,6.34,0.65,101.89
35.93,48.5,11.27,5.72,0.65,103.81
39.15,52.04,11.07,6.33,0.7,100.52
38.97,53.38,10.9,7.66,0.76,98.32
37.27,52.52,11.03,8.95,0.78,101.22
35.46,50.34,10.9,9.87,0.75,103.45
34.58,48.77,10.12,9.82,0.71,105.12
33.6,47.17,9.5,9.09,0.65,107.22
32.27,45.41,8.81,8.92,0.6,108.36
30.62,43.01,8.81,8.98,0.52,109.85
28.09,39.8,7.97,9.04,0.45,111.6
27.23,38.48,9.42,10.02,0.38,113.46
23.65,33.87,7.43,7,0.29,120.27
23,32.75,6.74,4.8,0.26,121.99
12.83,14.04,1.93,1.16,0.15,41.59
13.35,14.87,1.92,1.31,0.16,40.36
12.38,14.38,1.97,1.6,0.17,40.01
12.64,15.21,2.04,1.76,0.18,38.04
12.66,16.11,2.17,1.92,0.22,34.38
12.1,16.59,2.8,2.63,0.3,29.79
11.44,16.83,3.2,3.45,0.4,25.7
11.11,17.51,3.17,3.92,0.47,23.24
10.99,18.3,3.35,4.57,0.51,21.69
10.08,17.57,3.39,4.78,0.51,20.87
9.15,17.58,4.97,7.69,0.61,19.08
8.79,18.03,5.92,8.17,0.64,18.91
8.56,16.32,3.57,4.23,0.48,19.18
8.91,15.81,2.6,2.65,0.4,20.36
9.46,15.71,2.41,2.26,0.38,22.2
10.76,15.53,2.44,1.85,0.32,28.4
26.2,36.87,8.96,6.45,0.47,65.92
22.58,33.5,8.12,6.53,0.5,61.39
22.01,32.92,7.74,6.62,0.51,60.24
21.74,32.9,7.25,6.68,0.53,59.21
21.44,32.98,7.06,6.85,0.55,58.16
21.13,33.18,7.03,7.18,0.58,57.3
21.5,34.43,7.21,7.81,0.63,56.09
22.8,36.55,7.48,8.45,0.69,54.86
23.98,38.18,7.58,8.52,0.73,53.54
24.11,38.73,7.81,8.9,0.78,52.03
23.21,38.51,8.23,9.47,0.84,51.55
22.56,38.1,8.6,9.28,0.86,51.84
21.92,37.88,9,9.31,0.89,51.94
21.7,37.73,9.36,9.28,0.9,52.34
21.02,37.16,9.72,9.63,0.91,53.18
20.7,36.83,10.11,10.19,0.91,54.66
21.14,36.94,10.51,10.34,0.9,57.28
22.54,37.62,10.96,10.1,0.86,60.87
23.12,37.87,11.46,9.95,0.84,65.06
23.87,38.43,12.05,9.93,0.82,69.14
24.52,39.25,12.88,10.7,0.84,72.67
23.52,39.42,12.59,11.87,0.88,70.6
24.37,39.96,11.84,11.22,0.84,74.66
27.2,42.16,11.24,10.52,0.78,78.24
29.47,43.99,11.17,10.06,0.72,80.56
29.92,44.67,11.38,9.69,0.72,83.29
30.45,45.1,11.44,9.16,0.71,86.89
30.41,44.74,11.52,8.15,0.69,92.28
30.4,44.2,11.52,7.04,0.67,96.32
33.25,46.1,11.61,6.23,0.66,99.63
